,id,spectral_centroid_mean,spectral_centroid_dev,rolloff_point_mean,rolloff_point_dev,flux_mean,flux_dev,variability_mean,variability_dev,compactness_mean,compactness_dev,rms_mean,rms_dev,low_energy_window_mean,low_energy_window_dev,zero_crossing_mean,zero_crossing_dev,title,genre
0,TRBGMOG128F92D75BD,10.3,5.086,0.07343,0.04854,0.00513,0.005431,0.006496,0.002364,1591.0,186.8,0.2535,0.07534,0.5768,0.06054,32.6,13.1,b'Kicking And Screaming',Pop_Rock
1,TRBGMXY128F92FC2B2,10.3,9.546,0.07182,0.08093,0.002692,0.004058,0.004354,0.002262,1609.0,212.8,0.1653,0.07515,0.6104,0.0472,29.88,23.7,b'Black Connect 3',Rap
2,TRBGMAW128F4231326,10.68,6.049,0.06769,0.04254,0.0003151,0.0005887,0.002009,0.001721,1735.0,265.2,0.07812,0.0655,0.5651,0.08847,26.56,14.11,b'Terraplane Blues',Country
3,TRBGMAZ12903CC3707,8.497,6.651,0.05459,0.05239,0.001664,0.002623,0.004215,0.002799,1665.0,270.7,0.1607,0.1029,0.5712,0.07137,24.18,17.22,"b""L'idole des femmes""",Pop_Rock
4,TRBGWQG128F92FB42D,17.04,9.34,0.1222,0.06633,0.001189,0.001648,0.002966,0.001333,1629.0,201.1,0.1199,0.05009,0.582,0.06728,46.94,18.85,b'Take The Time',Pop_Rock
5,TRBGWGD128F42418B2,11.57,6.419,0.09115,0.05315,0.005204,0.004266,0.005861,0.00205,1586.0,195.0,0.2303,0.06744,0.5299,0.05519,35.59,14.35,b'When Rules Change',Pop_Rock
6,TRBGWVI128E0788AE7,8.621,4.299,0.06662,0.04,0.004621,0.004226,0.006753,0.001961,1602.0,195.0,0.2592,0.0631,0.5772,0.04652,26.1,11.21,b'Hold On',Pop_Rock
7,TRBGWJB128F4275C7B,9.461,14.33,0.05849,0.09428,0.003829,0.006677,0.004598,0.00371,1580.0,290.1,0.1706,0.1249,0.5809,0.06779,25.56,30.14,b'Psalm 27',Electronic
8,TRBGGBF128F425E4D1,16.88,11.42,0.1037,0.08142,0.0001818,0.0002629,0.001269,0.0008155,1645.0,167.8,0.05065,0.03126,0.5402,0.08148,42.13,26.54,b'Rumour (Abstract Hip Hop Mix)',Pop_Rock
9,TRBGGFE128E0785AC0,12.57,6.824,0.08928,0.06799,0.006983,0.007744,0.007156,0.003137,1514.0,242.8,0.2789,0.1054,0.5714,0.04408,38.89,18.26,b'Coral Fang (Album Version)',Pop_Rock
